ID,证券简称,Labels
002566,益盛药业,4
002567,唐人神,4
002568,百润股份,2
002569,ST 步森,1
002570,贝因美,4
002571,德力股份,4
002572,索菲亚,4
002574,明牌珠宝,0
002575,群兴玩具,1
002576,通达动力,7
002578,闽发铝业,7
002579,中京电子,4
002580,圣阳股份,7
002581,未名医药,2
002582,好想你,4
002583,海能达,7
002584,西陇科学,7
002585,双星新材,4
002586,*ST 围海,0
002587,奥拓电子,7
002588,史丹利,2
002589,瑞康医药,0
002590,万安科技,7
002591,恒大高新,2
002592,ST 八菱,2
002593,日上集团,4
002594,比亚迪,0
002595,豪迈科技,2
002596,海南瑞泽,7
002597,金禾实业,4
002598,山东章鼓,7
002599,盛通股份,2
002600,领益智造,7
002601,龙佰集团,4
002602,世纪华通,2
002603,以岭药业,2
002605,姚记科技,2
002606,大连电瓷,7
002607,中公教育,4
002608,江苏国信,4
002609,捷顺科技,2
002611,东方精工,2
002612,朗姿股份,0
002613,北玻股份,2
002614,奥佳华,0
002615,哈尔斯,2
002616,长青集团,4
002617,露笑科技,4
002620,瑞和股份,0
002622,皓宸医疗,0
002623,亚玛顿,4
002624,完美世界,3
002626,金达威,2
002627,三峡旅游,4
002628,成都路桥,0
002629,仁智股份,1
002630,华西能源,0
002631,德尔未来,0
002632,道明光学,2
002633,申科股份,7
002634,棒杰股份,4
002635,安洁科技,2
002636,金安国纪,2
002637,赞宇科技,4
002638,勤上股份,2
002639,雪人股份,7
002640,跨境通,0
002641,公元股份,2
002642,荣联科技,7
002643,万润股份,4
002644,佛慈制药,2
002645,华宏科技,0
002646,天佑德酒,2
002647,仁东控股,0
002648,卫星化学,4
002649,博彦科技,7
002650,ST 加加,4
002651,利君股份,3
002652,扬子新材,1
002653,海思科,1
002654,万润科技,7
002655,共达电声,7
002656,ST 摩登,3
002657,中科金财,2
002658,雪迪龙,2
002659,凯文教育,4
002660,茂硕电源,7
002661,克明食品,4
002662,京威股份,4
002663,普邦股份,0
002664,信质集团,7
002666,德联集团,4
002667,威领股份,4
002668,TCL智家,7
002669,康达新材,7
002670,国盛金控,0
002671,龙泉股份,7
002672,东江环保,4
002673,西部证券,0
002674,兴业科技,4
002675,东诚药业,2
002676,顺威股份,7
002677,浙江美大,3
002678,珠江钢琴,5
002679,福建金森,4
002681,奋达科技,2
002682,龙洲股份,4
002683,广东宏大,7
002685,华东重机,0
002686,亿利达,2
002687,乔治白,2
002688,金河生物,4
002689,远大智能,2
002690,美亚光电,3
002691,冀凯股份,2
002692,远程股份,7
002693,双成药业,1
002694,顾地科技,2
002695,煌上煌,3
002696,百洋股份,4
002697,红旗连锁,2
002698,博实股份,2
002700,ST 浩源,3
002701,奥瑞金,4
002702,海欣食品,4
002703,浙江世宝,7
002705,新宝股份,2
002706,良信股份,2
002707,众信旅游,3
002708,光洋股份,7
002709,天赐材料,4
002712,思美传媒,7
002714,牧原股份,4
002715,登云股份,4
002716,湖南白银,6
002717,岭南股份,0
002718,友邦吊顶,2
002719,麦趣尔,4
002721,ST 金一,3
002722,物产金轮,2
002723,小崧股份,0
002724,海洋王,2
002725,跃岭股份,2
002726,龙大美食,4
002727,一心堂,0
002728,特一药业,4
002729,好利科技,1
002730,电光科技,7
002731,萃华珠宝,0
002732,燕塘乳业,2
002733,雄韬股份,7
002734,利民股份,4
002735,王子新材,7
002736,国信证券,0
002737,葵花药业,2
002738,中矿资源,2
002739,万达电影,0
002741,光华科技,4
002742,ST 三圣,4
002743,富煌钢构,0
002745,木林森,0
002746,仙坛股份,4
002747,埃斯顿,7
002748,ST 世龙,4
002749,国光股份,2
002750,*ST 龙津,3
002752,昇兴股份,4
002753,永东股份,4
002755,奥赛康,3
002756,永兴材料,3
002757,南兴股份,2
002758,浙农股份,0
002759,天际股份,4
002760,凤形股份,2
002761,浙江建投,0
002762,金发拉比,2
002763,汇洁股份,3
002765,蓝黛科技,4
002766,索菱股份,1
002767,先锋电子,7
002768,国恩股份,0
002769,普路通,0
002771,真视通,1
002772,众兴菌业,4
002773,康弘药业,3
002774,快意电梯,2
002775,文科股份,0
002777,久远银海,2
002778,中晟高科,7
002779,中坚科技,1
002780,三夫户外,4
002782,可立克,7
002783,凯龙股份,4
002785,万里石,7
002786,银宝山新,4
002787,华源控股,4
002788,鹭燕医药,7
002789,建艺集团,7
002790,瑞尔特,3
002791,坚朗五金,7
002792,通宇通讯,2
002793,罗欣药业,4
002795,永和智控,4
002796,世嘉科技,7
002797,第一创业,0
002798,帝欧家居,4
002799,环球印务,2
002800,天顺股份,7
002801,微光股份,3
002802,洪汇新材,2
002803,吉宏股份,2
002805,丰元股份,4
002806,华锋股份,7
002807,江阴银行,0
002808,ST 恒久,2
002809,红墙股份,7
002810,山东赫达,4
002811,郑中设计,7
002812,恩捷股份,4
002813,路畅科技,1
002815,崇达技术,4
002816,和科达,1
002817,黄山胶囊,2
002818,富森美,2
002819,东方中科,7
002820,桂发祥,3
002821,凯莱英,2
002822,ST 中装,0
002823,凯中精密,4
002824,和胜股份,7
002825,纳尔股份,2
002826,易明医药,2
002828,贝肯能源,7
002829,星网宇达,7
002830,名雕股份,0
002831,裕同科技,4
002832,比音勒芬,2
002833,弘亚数控,2
002835,同为股份,2
002836,新宏泽,1
002837,英维克,1
